RegID,CatID,Cat,Venue,Laps,Course,Grade,Rank,Lap1,Lap2,Lap3,LapAvg,Final,T0
100431637,103,Advanced Middle School Male,Merrell,2,Advanced,7,2,1610.67,1629.07,,1620.89,3241.79,33282.24
100393693,103,Advanced Middle School Male,Merrell,2,Advanced,8,3,1618.02,1651.14,,1635.8,3271.6,33282.24
100395074,103,Advanced Middle School Male,Merrell,2,Advanced,8,4,1631.2,1659.32,,1646.75,3293.5,33282.24
100395102,103,Advanced Middle School Male,Merrell,2,Advanced,8,5,1626.37,1670.85,,1649.38,3298.77,33282.24
100408645,103,Advanced Middle School Male,Merrell,2,Advanced,8,6,1627.59,1685.92,,1657.84,3315.69,33282.24
100395114,103,Advanced Middle School Male,Merrell,2,Advanced,8,7,1628.08,1730.82,,1681.04,3362.08,33282.24
100403115,103,Advanced Middle School Male,Merrell,2,Advanced,8,8,1654.92,1754.21,,1705.12,3410.24,33282.24
100468882,103,Advanced Middle School Male,Merrell,2,Advanced,8,9,1684.66,1724.15,,1705.59,3411.18,33282.24
100394132,103,Advanced Middle School Male,Merrell,2,Advanced,7,10,1676.74,1735.94,,1707.02,3414.04,33282.24
100432755,103,Advanced Middle School Male,Merrell,2,Advanced,8,11,1732.17,1807.61,,1771.31,3542.62,33282.24
100430386,103,Advanced Middle School Male,Merrell,2,Advanced,7,12,1757.32,1811.04,,1786.07,3572.14,33282.24
100395088,103,Advanced Middle School Male,Merrell,2,Advanced,8,13,1763.16,1809.37,,1788.34,3576.68,33282.24
100394136,103,Advanced Middle School Male,Merrell,2,Advanced,7,14,1774.1,1810.28,,1793.69,3587.39,33282.24
100511308,103,Advanced Middle School Male,Merrell,2,Advanced,8,15,1790.28,1794.55,,1794.51,3589.03,33282.24
100395070,103,Advanced Middle School Male,Merrell,2,Advanced,8,16,1805.93,1811.01,,1809.58,3619.17,33282.24
100488396,103,Advanced Middle School Male,Merrell,2,Advanced,8,17,1805.11,1810.61,,1809.68,3619.36,33282.24
100394131,103,Advanced Middle School Male,Merrell,2,Advanced,7,18,1822.55,1804.28,,1815.02,3630.05,33282.24
100399508,103,Advanced Middle School Male,Merrell,2,Advanced,6,19,1810.66,1822.68,,1817.72,3635.44,33282.24
100526178,103,Advanced Middle School Male,Merrell,2,Advanced,8,20,1803.37,1901.39,,1854.11,3708.23,33282.24
100394115,103,Advanced Middle School Male,Merrell,2,Advanced,7,21,1821.35,1891.45,,1857.98,3715.97,33282.24
100401660,103,Advanced Middle School Male,Merrell,2,Advanced,7,22,1807.01,1957.94,,1883.62,3767.25,33282.24
100394130,103,Advanced Middle School Male,Merrell,2,Advanced,7,23,1844.72,1956.11,,1902.24,3804.49,33282.24
100395080,103,Advanced Middle School Male,Merrell,2,Advanced,8,24,1891.9,1946.15,,1920.94,3841.88,33282.24
100394088,103,Advanced Middle School Male,Merrell,2,Advanced,6,25,1902.64,1990.05,,1947.25,3894.5,33282.24
100484168,103,Advanced Middle School Male,Merrell,2,Advanced,7,26,1922.91,1978.21,,1952.22,3904.44,33282.24
100491550,103,Advanced Middle School Male,Merrell,2,Advanced,8,27,1906.74,2004.49,,1957.92,3915.85,33282.24
100394108,103,Advanced Middle School Male,Merrell,2,Advanced,7,28,1969.36,2166.31,,2070.03,4140.06,33282.24
100394113,103,Advanced Middle School Male,Merrell,2,Advanced,7,29,2096.94,2260.27,,2180.75,4361.5,33282.24
100394163,103,Advanced Middle School Male,Merrell,2,Advanced,7,30,2240.85,2640.95,,2443.2,4886.4,33282.24
100393674,104,Advanced Middle School Female,Merrell,2,Advanced,7,1,1695.59,1749.32,,1722.79,3445.59,33483.08
100395030,104,Advanced Middle School Female,Merrell,2,Advanced,8,2,1695.59,1749.81,,1722.85,3445.71,33483.08
100395024,104,Advanced Middle School Female,Merrell,2,Advanced,8,3,1698.78,1769.64,,1734.75,3469.5,33483.08
100395013,104,Advanced Middle School Female,Merrell,2,Advanced,8,4,1777.18,1846.38,,1812.29,3624.59,33483.08
100395028,104,Advanced Middle School Female,Merrell,2,Advanced,8,5,1823.49,1932.49,,1879.03,3758.07,33483.08
100395012,104,Advanced Middle School Female,Merrell,2,Advanced,8,6,1831.16,1964.53,,1898.92,3797.84,33483.08
100395192,104,Advanced Middle School Female,Merrell,2,Advanced,7,7,1886.26,1951.78,,1919.81,3839.63,33483.08
100394014,104,Advanced Middle School Female,Merrell,2,Advanced,7,8,1992.83,2146.5,,2070.16,4140.32,33483.08
100399861,104,Advanced Middle School Female,Merrell,2,Advanced,7,9,3079.23,2139.45,,2610.59,5221.19,33483.08
100443554,301,Novice 10-12th Grade Male,Merrell,3,Beginner,12,1,1060.81,1109.97,1071.42,1081.17,3243.52,43291.49
100569949,301,Novice 10-12th Grade Male,Merrell,3,Beginner,12,2,1043.65,1118.26,1079.34,1081.27,3243.82,43291.49
100394463,301,Novice 10-12th Grade Male,Merrell,3,Beginner,11,3,1102.71,1174.49,1152.79,1143.8,3431.42,43291.49
100520052,301,Novice 10-12th Grade Male,Merrell,3,Beginner,10,4,1130.91,1197.13,1171.64,1166.96,3500.89,43291.49
100394388,301,Novice 10-12th Grade Male,Merrell,3,Beginner,10,5,1123.15,1199.55,1177.89,1167.24,3501.74,43291.49
100470505,301,Novice 10-12th Grade Male,Merrell,3,Beginner,11,6,1066.97,1300.9,1157.62,1175.56,3526.68,43291.49
100491854,301,Novice 10-12th Grade Male,Merrell,3,Beginner,11,7,1148.56,1212.58,1182.57,1181.85,3545.56,43291.49
100553328,301,Novice 10-12th Grade Male,Merrell,3,Beginner,10,8,1146.35,1237.8,1214.06,1200.56,3601.7,43291.49
100558408,301,Novice 10-12th Grade Male,Merrell,3,Beginner,11,9,1186.81,1209.93,1235.32,1211.7,3635.1,43291.49
100394471,301,Novice 10-12th Grade Male,Merrell,3,Beginner,11,10,1173.05,1267.12,1221.02,1221.23,3663.7,43291.49
100559933,301,Novice 10-12th Grade Male,Merrell,3,Beginner,10,11,1217.42,1314.44,1372.97,1302.69,3908.07,43291.49
100512137,301,Novice 10-12th Grade Male,Merrell,3,Beginner,10,12,1251.69,1348.38,1379.72,1327.75,3983.26,43291.49
100566869,301,Novice 10-12th Grade Male,Merrell,3,Beginner,12,13,1260.59,1360.29,1372.48,1332.22,3996.66,43291.49
100461240,301,Novice 10-12th Grade Male,Merrell,3,Beginner,11,14,1232.56,1370.8,1402.22,1336.01,4008.03,43291.49
100577588,301,Novice 10-12th Grade Male,Merrell,3,Beginner,10,15,1287.55,1415.49,1382.79,1362.58,4087.74,43291.49
100488924,301,Novice 10-12th Grade Male,Merrell,3,Beginner,11,16,1209.4,1365.97,1699.51,1425.68,4277.06,43291.49
100572562,301,Novice 10-12th Grade Male,Merrell,3,Beginner,11,17,1302.9,1431.08,1545.81,1427.37,4282.12,43291.49
100554581,301,Novice 10-12th Grade Male,Merrell,3,Beginner,10,18,1397.21,1497.2,1545.22,1481.13,4443.4,43291.49
100458193,302,Novice 9th Grade Male,Merrell,3,Beginner,9,-1,1651.16,2048.35,,1851.57,3703.14,43555.93
100489422,302,Novice 9th Grade Male,Merrell,3,Beginner,9,1,1023.83,1072.54,1060.3,1052.73,3158.19,43555.93
100395144,302,Novice 9th Grade Male,Merrell,3,Beginner,9,2,1042.93,1090.89,1093.16,1076.18,3228.56,43555.93
100526808,302,Novice 9th Grade Male,Merrell,3,Beginner,9,3,1095.69,1151.22,1151.27,1133.57,3400.73,43555.93
100512965,302,Novice 9th Grade Male,Merrell,3,Beginner,9,4,1123.51,1193.36,1159.92,1160.34,3481.03,43555.93
100395143,302,Novice 9th Grade Male,Merrell,3,Beginner,9,5,1128.22,1204.57,1146.84,1160.42,3481.27,43555.93
100421419,302,Novice 9th Grade Male,Merrell,3,Beginner,9,6,1136.57,1223.51,1163.97,1175.22,3525.66,43555.93
100539996,302,Novice 9th Grade Male,Merrell,3,Beginner,9,7,1201.47,1202.41,1120.56,1175.65,3526.97,43555.93
100393699,302,Novice 9th Grade Male,Merrell,3,Beginner,9,8,1154.31,1237.34,1167.16,1187.77,3563.33,43555.93
100521841,302,Novice 9th Grade Male,Merrell,3,Beginner,9,9,1169.22,1278.73,1284.98,1245.7,3737.12,43555.93
100581093,302,Novice 9th Grade Male,Merrell,3,Beginner,9,10,1175.97,1291.41,1273.8,1248.17,3744.53,43555.93
100495078,302,Novice 9th Grade Male,Merrell,3,Beginner,9,11,1197.22,1350.17,1281.26,1276.77,3830.31,43555.93
100464787,302,Novice 9th Grade Male,Merrell,3,Beginner,9,12,1247.81,1309.97,1279.78,1280.17,3840.53,43555.93
